-2.07183035578289e-16*v3,-2.62715018505524e-10*v3,1.12491255822122e-8*v3,-1.51724542897036e-8*v3,1.2694186196017e-8*v3,0,0,0,0,0,0,0,0,0
-2.62715018505524e-10*v3,-0.000333131430166141*v3,0.0142642674737001*v3,-0.0192391794934749*v3,0.0160966526631423*v3,0,0,0,0,0,0,0,0,0
1.12491255822122e-8*v3,0.0142642674737001*v3,-0.610777933681562*v3,0.823797388714077*v3,-0.68923835527557*v3,0,0,0,0,0,0,0,0,0
-1.51724542897036e-8*v3,-0.0192391794934749*v3,0.823797388714077*v3,-1.11111109329295*v3,0.929622250520967*v3,0,0,0,0,0,0,0,0,0
1.2694186196017e-8*v3,0.0160966526631423*v3,-0.68923835527557*v3,0.929622250520967*v3,-0.777777788270011*v3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-1.0000001473907*v3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-2.41503399651756e-17*v3,6.04233902156738e-10*v3,-5.24804344962274e-9*v3,5.18012676560962e-9*v3,0,0,0,0
0,0,0,0,0,0,6.04233902156738e-10*v3,-0.0151177419879813*v3,0.13130439475495*v3,-0.129605140704615*v3,0,0,0,0
0,0,0,0,0,0,-5.24804344962274e-9*v3,0.13130439475495*v3,-1.14043777805378*v3,1.12567899166944*v3,0,0,0,0
0,0,0,0,0,0,5.18012676560962e-9*v3,-0.129605140704615*v3,1.12567899166944*v3,-1.11111120367163*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-2.10000005585364*v3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
