aF*(-0.00053517913729529*sqrt(858)*(chi + 1.3228756555323) + 0.00209246051300025*sqrt(858)),0.000146505127587644*sqrt(858)*aF*(chi + 1.3228756555323),-0.000474322599282125*sqrt(858)*aF*(chi + 1.3228756555323),0,0,aF*(-0.00306431573959414*sqrt(3003) - 0.00162509871575542*sqrt(6006))*(chi + 1.3228756555323),aF*((-0.00590518548132555*sqrt(429) - 0.0125898967892701*sqrt(78))*(chi + 1.3228756555323) + 0.0521972033028758*sqrt(429)),aF*(0.000428980133600701*sqrt(429) + 0.00654719405679765*sqrt(78))*(chi + 1.3228756555323),aF*(-0.00121416131072598*sqrt(429) + 0.0140886250060982*sqrt(78))*(chi + 1.3228756555323),0,0,0,0,0
0.000146505162229444*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.000570508659846659*sqrt(858)*(chi + 1.3228756555323) - 0.00141979697920116*sqrt(858)),aF*(0.000115170432268619*sqrt(858)*(chi + 1.3228756555323) + 0.000570069258186251*sqrt(858)),-0.000363632701690958*sqrt(858)*aF*(chi + 1.3228756555323),0.000105210224289233*sqrt(858)*aF*(chi + 1.3228756555323),aF*((0.000958160614028447*sqrt(6006) + 0.00180672545957148*sqrt(3003))*(chi + 1.3228756555323) + 0.00760829541647427*sqrt(3003)),aF*(0.00208046710623616*sqrt(429) + 0.0107368076902223*sqrt(78))*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(-0.00551827844542717*sqrt(429) - 0.00858534193959353*sqrt(78) - 1.25326557491698e-5*sqrt(858)) - 0.0324923231147139*sqrt(429)),aF*((chi + 1.3228756555323)*(-0.0130755256926026*sqrt(78) + 0.000108851637593758*sqrt(858) + 0.000821108269062161*sqrt(429)) - 0.00915836693490554*sqrt(429)),aF*(chi + 1.3228756555323)*(-0.000506264700511466*sqrt(429) - 0.000107442940011182*sqrt(858) + 0.00905430493137324*sqrt(78)),0,0,0,0
-0.000474322553156245*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.000115170355734937*sqrt(858)*(chi + 1.3228756555323) + 0.000570069258186251*sqrt(858)),aF*(0.00016527012727362*sqrt(858)*(chi + 1.3228756555323) + 0.00141979697920116*sqrt(858)),-0.000259678024590945*sqrt(858)*aF*(chi + 1.3228756555323),0.000225140038436768*sqrt(858)*aF*(chi + 1.3228756555323),aF*((-0.00190059995706792*sqrt(3003) - 0.001007945912406*sqrt(6006))*(chi + 1.3228756555323) - 0.0200616654688505*sqrt(3003)),aF*(-0.00501741971157664*sqrt(78) + 0.00543983909313451*sqrt(429))*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(8.07176655980494e-5*sqrt(78) + 0.000205423657327909*sqrt(429) + 0.000536631966841941*sqrt(858)) - 0.00376106659236486*sqrt(429)),aF*((chi + 1.3228756555323)*(-0.00466088509450793*sqrt(858) + 0.00472134257138502*sqrt(78) + 0.00507789112454981*sqrt(429)) - 0.0205889239456238*sqrt(429)),aF*(chi + 1.3228756555323)*(0.00762670024165541*sqrt(78) + 0.00328869540892566*sqrt(429) + 0.00460056650206006*sqrt(858)),0,0,0,0
0,-0.000363632681659094*sqrt(858)*aF*(chi + 1.3228756555323),-0.000259678049970012*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.000447083775225826*sqrt(858)*(chi + 1.3228756555323) + 0.00121142459406042*sqrt(858)),-0.000257970460113195*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.00030555997809058*sqrt(6006) + 0.000576169213467*sqrt(3003))*(chi + 1.3228756555323),0,aF*(chi + 1.3228756555323)*(-0.000723791795796852*sqrt(858) + 0.00214436700126164*sqrt(78) + 0.00861958758170382*sqrt(429)),aF*(chi + 1.3228756555323)*(-0.00213571697670103*sqrt(429) + 0.00075763516827115*sqrt(78) + 0.0062864506794287*sqrt(858)),aF*((chi + 1.3228756555323)*(-0.00620509491785395*sqrt(858) - 0.00646799340850855*sqrt(78) - 0.000401158277027194*sqrt(429)) - 0.0250747256992777*sqrt(429)),0,0,0,0
0,0.000105210213827792*sqrt(858)*aF*(chi + 1.3228756555323),0.000225140019266293*sqrt(858)*aF*(chi + 1.3228756555323),-0.000257970464660898*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.000755417365841677*sqrt(858)*(chi + 1.3228756555323) + 0.000770906587431641*sqrt(858)),aF*(0.00127824861434111*sqrt(6006) + 0.00241028777026336*sqrt(3003))*(chi + 1.3228756555323),0,aF*(chi + 1.3228756555323)*(0.000605567689473194*sqrt(858) + 0.0018725786930237*sqrt(429) + 0.00897052737446179*sqrt(78)),aF*(chi + 1.3228756555323)*(-0.00525962222152253*sqrt(858) - 0.002434713959936*sqrt(429) + 0.00316941410347793*sqrt(78)),aF*(chi + 1.3228756555323)*(-0.0270575474695924*sqrt(78) - 0.00167816366048006*sqrt(429) + 0.00519155510491766*sqrt(858)),0,0,0,0
aF*(-0.00306431613479574*sqrt(3003) - 0.00162509914001929*sqrt(6006))*(chi + 1.3228756555323),aF*((0.000958161017571794*sqrt(6006) + 0.00180672515517229*sqrt(3003))*(chi + 1.3228756555323) + 0.00760829403531976*sqrt(3003)),aF*((-0.00190060025921105*sqrt(3003) - 0.00100794571018944*sqrt(6006))*(chi + 1.3228756555323) - 0.0200616652843176*sqrt(3003)),aF*(0.000305559904692304*sqrt(6006) + 0.000576169223843762*sqrt(3003))*(chi + 1.3228756555323),aF*(0.00127824837203709*sqrt(6006) + 0.00241028827013911*sqrt(3003))*(chi + 1.3228756555323),5.75133561110143e-11*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.000715238178527757*sqrt(546) + 0.00323478660573499*sqrt(6006))*(chi + 1.3228756555323),aF*((-0.000616655686358496*sqrt(6006) + 0.00013634763728963*sqrt(546))*(chi + 1.3228756555323) - 0.0054149787148126*sqrt(3003)),aF*((-0.00324338888202042*sqrt(6006) + 0.000717140266540371*sqrt(546))*(chi + 1.3228756555323) - 0.0160328699668146*sqrt(3003)),aF*(-0.00321398348179337*sqrt(6006) + 0.000710638582595075*sqrt(546))*(chi + 1.3228756555323),aF*(7.87420044098819e-10*sqrt(39)*(chi + 1.3228756555323) - 0.0322090651027918*sqrt(182)),0,0,0
aF*((-0.00590518598079229*sqrt(429) - 0.012589901320675*sqrt(78))*(chi + 1.3228756555323) + 0.0521972068071555*sqrt(429)),aF*(0.00208046633722545*sqrt(429) + 0.0107368094248605*sqrt(78))*(chi + 1.3228756555323),aF*(-0.00501742096851537*sqrt(78) + 0.00543983878316545*sqrt(429))*(chi + 1.3228756555323),0,0,aF*(-0.000715238249232115*sqrt(546) + 0.00323478646214957*sqrt(6006))*(chi + 1.3228756555323),aF*(-0.00034417240738036*sqrt(858)*(chi + 1.3228756555323) + 0.00446114072941456*sqrt(39)),2.0289943560825e-5*sqrt(858)*aF*(chi + 1.3228756555323),-0.00019615490958695*sqrt(858)*aF*(chi + 1.3228756555323),0,-0.0031281201720701*sqrt(3003)*aF*(chi + 1.3228756555323),aF*((-0.00418976136717185*sqrt(1122) - 0.000442443023564713*sqrt(7293))*(chi + 1.3228756555323) + 0.115485706668611*sqrt(51)),aF*(-0.00017665598111436*sqrt(1122) + 0.000699563727002896*sqrt(7293))*(chi + 1.3228756555323),0
aF*(0.000428980330316837*sqrt(429) + 0.00654719607399789*sqrt(78))*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(-0.00551827841524869*sqrt(429) - 0.00858534098970074*sqrt(78) - 1.25325840492126e-5*sqrt(858)) - 0.0324923276325278*sqrt(429)),aF*((chi + 1.3228756555323)*(8.07197369426783e-5*sqrt(78) + 0.000205422740236331*sqrt(429) + 0.000536631305879543*sqrt(858)) - 0.00376106349180985*sqrt(429)),aF*(chi + 1.3228756555323)*(-0.000723790886119517*sqrt(858) + 0.00214436695728708*sqrt(78) + 0.00861958761195627*sqrt(429)),aF*(chi + 1.3228756555323)*(0.000605566906715182*sqrt(858) + 0.00187257856137047*sqrt(429) + 0.00897052764485753*sqrt(78)),aF*((-0.000616655981407001*sqrt(6006) + 0.000136347603020923*sqrt(546))*(chi + 1.3228756555323) - 0.00541497852008095*sqrt(3003)),2.02899451538326e-5*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.000490120041207158*sqrt(858)*(chi + 1.3228756555323) - 0.00290860096196459*sqrt(39)),aF*(0.000174966540775649*sqrt(858)*(chi + 1.3228756555323) + 0.00142436444106184*sqrt(39)),-9.11501389707509e-5*sqrt(858)*aF*(chi + 1.3228756555323),aF*((0.0123975144083482*sqrt(13) + 0.00500416523868063*sqrt(3003))*(chi + 1.3228756555323) + 0.0162056045848396*sqrt(546)),aF*(0.000771887780739837*sqrt(7293) + 0.00217882479579792*sqrt(1122))*(chi + 1.3228756555323),aF*((-0.00122046153733369*sqrt(7293) - 0.0021484850520028*sqrt(1122))*(chi + 1.3228756555323) - 0.0569557047450433*sqrt(51)),0
aF*(-0.00121416156691617*sqrt(429) + 0.0140886282500916*sqrt(78))*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(-0.0130755252486721*sqrt(78) + 0.000108851146177523*sqrt(858) + 0.0008211083375297*sqrt(429)) - 0.00915836969499346*sqrt(429)),aF*((chi + 1.3228756555323)*(-0.0046608849771408*sqrt(858) + 0.00472134403022882*sqrt(78) + 0.00507789153625357*sqrt(429)) - 0.0205889262528338*sqrt(429)),aF*(chi + 1.3228756555323)*(-0.00213571733434044*sqrt(429) + 0.000757634956271877*sqrt(78) + 0.00628645036311603*sqrt(858)),aF*(chi + 1.3228756555323)*(-0.00525962176868595*sqrt(858) - 0.00243471442970358*sqrt(429) + 0.00316941337715148*sqrt(78)),aF*((-0.00324338874895066*sqrt(6006) + 0.000717140245174929*sqrt(546))*(chi + 1.3228756555323) - 0.0160328688287839*sqrt(3003)),-0.00019615490223918*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.000174966572437354*sqrt(858)*(chi + 1.3228756555323) + 0.00142436444106184*sqrt(39)),aF*(-0.000203390408814399*sqrt(858)*(chi + 1.3228756555323) - 0.00136470296275847*sqrt(39)),-0.000178492116229713*sqrt(858)*aF*(chi + 1.3228756555323),aF*((-0.107678005413883*sqrt(13) - 0.000221468266358594*sqrt(3003))*(chi + 1.3228756555323) - 0.0323973132177833*sqrt(546)),aF*(-0.000588026151549139*sqrt(7293) + 0.00468851890536621*sqrt(1122))*(chi + 1.3228756555323),aF*((-0.000593862514038519*sqrt(1122) + 0.0009297508249505*sqrt(7293))*(chi + 1.3228756555323) - 0.0438055747594408*sqrt(51)),0
0,aF*(chi + 1.3228756555323)*(-0.000506265042126837*sqrt(429) - 0.00010744246297053*sqrt(858) + 0.00905430037446984*sqrt(78)),aF*(chi + 1.3228756555323)*(0.00762669568937328*sqrt(78) + 0.00328869602514534*sqrt(429) + 0.00460056672944575*sqrt(858)),aF*((chi + 1.3228756555323)*(-0.0062050950685776*sqrt(858) - 0.00646799338757114*sqrt(78) - 0.000401157936653613*sqrt(429)) - 0.0250747243983039*sqrt(429)),aF*(chi + 1.3228756555323)*(-0.0270575487524614*sqrt(78) - 0.00167816412794832*sqrt(429) + 0.00519155504526716*sqrt(858)),aF*(-0.00321398389316523*sqrt(6006) + 0.00071063875099655*sqrt(546))*(chi + 1.3228756555323),0,-9.11501578773836e-5*sqrt(858)*aF*(chi + 1.3228756555323),-0.000178492143459662*sqrt(858)*aF*(chi + 1.3228756555323),aF*(4.62500604685564e-5*sqrt(858)*(chi + 1.3228756555323) + 0.00258276608896187*sqrt(39)),aF*(-0.00388500379070039*sqrt(3003) + 0.106284504258262*sqrt(13))*(chi + 1.3228756555323),0,0.00675751168274732*sqrt(1122)*aF*(chi + 1.3228756555323),0
