aF*(0.0160950172886971*sqrt(858)*(chi + 1.3228756555323) - 0.237614473131135*sqrt(39)),-0.0022090535704969*sqrt(858)*aF*(chi + 1.3228756555323),0.0103727252867963*sqrt(858)*aF*(chi + 1.3228756555323),0,0,0,0.0715757103844797*sqrt(13)*aF*(chi + 1.3228756555323),0,aF*((-0.0404455828316241*sqrt(22) - 0.00740322755055997*sqrt(143))*(chi + 1.3228756555323) + 1.2422431849686),aF*(0.00184936503322649*sqrt(22) + 0.00419082618905946*sqrt(143))*(chi + 1.3228756555323),aF*(-0.00455783663736031*sqrt(22) + 0.00777311444441182*sqrt(143))*(chi + 1.3228756555323),0,0,0,0,0
-0.00220905425228787*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.0186482036948262*sqrt(858)*(chi + 1.3228756555323) + 0.172480685627774*sqrt(39)),aF*(-0.00495291296279916*sqrt(858)*(chi + 1.3228756555323) - 0.0614803564620825*sqrt(39)),0.00561167592934133*sqrt(858)*aF*(chi + 1.3228756555323),0.000779663193586316*sqrt(858)*aF*(chi + 1.3228756555323),-0.00171455447085271*sqrt(858)*aF*(chi + 1.3228756555323),aF*((-0.0579867206330428*sqrt(13) - 0.000431266119387955*sqrt(3003))*(chi + 1.3228756555323) - 0.0243878331008228*sqrt(286)),aF*(-0.000169156472196612*sqrt(3003) + 0.0233952598477614*sqrt(13))*(chi + 1.3228756555323),aF*(0.0155961406563741*sqrt(22) + 0.00753958053768964*sqrt(143))*(chi + 1.3228756555323),aF*((-0.0348825282948029*sqrt(22) - 0.00604864145606748*sqrt(143))*(chi + 1.3228756555323) - 0.801503521504108),aF*((-0.00909882463263649*sqrt(143) + 0.00306937150591021*sqrt(22))*(chi + 1.3228756555323) - 0.172237096745724),aF*(-0.0018964769260472*sqrt(22) + 0.00529012608304504*sqrt(143))*(chi + 1.3228756555323),0,0,0,0
0.0103727263822041*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.00495291283298141*sqrt(858)*(chi + 1.3228756555323) - 0.0614803564620825*sqrt(39)),aF*(0.00637122215108523*sqrt(858)*(chi + 1.3228756555323) + 0.0733986105125757*sqrt(39)),0.00240135538451525*sqrt(858)*aF*(chi + 1.3228756555323),0.00738294667928822*sqrt(858)*aF*(chi + 1.3228756555323),-0.00476664399072951*sqrt(858)*aF*(chi + 1.3228756555323),aF*((-0.0139118116991072*sqrt(13) + 0.00769120720770203*sqrt(3003))*(chi + 1.3228756555323) + 0.0654463357422967*sqrt(286)),aF*(0.0281033184709499*sqrt(13) + 0.00301673936277307*sqrt(3003))*(chi + 1.3228756555323),aF*(-0.00541121423714568*sqrt(143) + 0.0391213995998019*sqrt(22))*(chi + 1.3228756555323),aF*((0.00131829592605509*sqrt(22) + 0.00129633235854459*sqrt(143))*(chi + 1.3228756555323) - 0.136119336971915),aF*((-0.0222172367689212*sqrt(22) + 0.00450817819924102*sqrt(143))*(chi + 1.3228756555323) - 0.673469801499024),aF*(0.00867217102112794*sqrt(22) + 0.00524920023746144*sqrt(143))*(chi + 1.3228756555323),0,0,0,0
0,0.00561167660256855*sqrt(858)*aF*(chi + 1.3228756555323),0.00240135588359825*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.00524712760992041*sqrt(858)*(chi + 1.3228756555323) - 0.0312612397841319*sqrt(39)),aF*(0.00200897545106215*sqrt(858)*(chi + 1.3228756555323) - 0.0338188398499964*sqrt(39)),0.00419623762516982*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.00122396770195381*sqrt(3003) + 0.021595241439164*sqrt(13))*(chi + 1.3228756555323),aF*((-0.0699840542932822*sqrt(13) - 0.000480079582506808*sqrt(3003))*(chi + 1.3228756555323) - 0.0172342724842018*sqrt(286)),0,aF*(0.00159234079239877*sqrt(143) + 0.0445742522261491*sqrt(22))*(chi + 1.3228756555323),aF*(0.00105749968840111*sqrt(143) + 0.0314177011108768*sqrt(22))*(chi + 1.3228756555323),aF*((-0.030292474690179*sqrt(22) - 0.00473073628715679*sqrt(143))*(chi + 1.3228756555323) - 0.587713859657402),0,0,0,0
0,0.000779661941345168*sqrt(858)*aF*(chi + 1.3228756555323),0.007382947730056*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.00200897537050482*sqrt(858)*(chi + 1.3228756555323) - 0.0338188398499964*sqrt(39)),aF*(-0.00281252717344405*sqrt(858)*(chi + 1.3228756555323) - 0.156764105406746*sqrt(39)),-0.00135380824781875*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.00627649211566941*sqrt(3003) + 0.0453535434229403*sqrt(13))*(chi + 1.3228756555323),aF*((-0.00246184250588302*sqrt(3003) + 0.0710424547033568*sqrt(13))*(chi + 1.3228756555323) + 0.0515310265912821*sqrt(286)),0,aF*(-0.00108084978030221*sqrt(143) + 0.00212351337436993*sqrt(22))*(chi + 1.3228756555323),aF*(-0.000717810101539964*sqrt(143) + 0.0149557587065736*sqrt(22))*(chi + 1.3228756555323),aF*((0.00321113124844232*sqrt(143) + 0.0615046551511498*sqrt(22))*(chi + 1.3228756555323) - 0.0774014569484452),0,0,0,0
0,-0.00171455360180975*sqrt(858)*aF*(chi + 1.3228756555323),-0.00476664473989901*sqrt(858)*aF*(chi + 1.3228756555323),0.0041962384391233*sqrt(858)*aF*(chi + 1.3228756555323),-0.00135380843722568*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.0223850211478323*sqrt(858)*(chi + 1.3228756555323) - 0.113641707914322*sqrt(39)),aF*(-0.0457604276855121*sqrt(13) - 0.00129034993344955*sqrt(3003))*(chi + 1.3228756555323),aF*(-0.0179487061812278*sqrt(13) - 0.000506116833270429*sqrt(3003))*(chi + 1.3228756555323),0,aF*(0.00585472721717149*sqrt(143) + 0.0169980181938765*sqrt(22))*(chi + 1.3228756555323),aF*(-0.0490770198475849*sqrt(22) + 0.00388822056018886*sqrt(143))*(chi + 1.3228756555323),aF*(-0.0173939967059146*sqrt(143) + 0.0164714318396967*sqrt(22))*(chi + 1.3228756555323),0,0,0,0
0.0715757206857289*sqrt(13)*aF*(chi + 1.3228756555323),aF*((-0.0579867172761738*sqrt(13) - 0.000431266076394494*sqrt(3003))*(chi + 1.3228756555323) - 0.0243878440721416*sqrt(286)),aF*((-0.01391180334478*sqrt(13) + 0.00769120666042374*sqrt(3003))*(chi + 1.3228756555323) + 0.0654463282545944*sqrt(286)),aF*(-0.00122396837468629*sqrt(3003) + 0.0215952434647019*sqrt(13))*(chi + 1.3228756555323),aF*(-0.00627649069860723*sqrt(3003) + 0.0453535514082608*sqrt(13))*(chi + 1.3228756555323),aF*(-0.0457604325142862*sqrt(13) - 0.00129034943579108*sqrt(3003))*(chi + 1.3228756555323),aF*(-0.00154717075523217*sqrt(858)*(chi + 1.3228756555323) - 0.027058277865742*sqrt(14)),-0.00114939845976199*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.120052386363743*sqrt(3) - 0.00112115262660663*sqrt(78))*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(0.000427561965911155*sqrt(78) + 0.000518245076141092*sqrt(182) + 0.0380769390716124*sqrt(3)) + 0.0352378199901973*sqrt(66)),aF*((chi + 1.3228756555323)*(-0.00335001861643497*sqrt(182) + 0.00103962938356184*sqrt(78) + 0.161136618362588*sqrt(3)) + 0.0787333492817761*sqrt(66)),aF*(chi + 1.3228756555323)*(0.000615283573364819*sqrt(78) + 0.00255877150124065*sqrt(182) + 0.0278360761608959*sqrt(3)),aF*((-0.00078332917699077*sqrt(23023) + 0.00132284148527605*sqrt(897))*(chi + 1.3228756555323) - 0.0946432896757471*sqrt(69)),0,0,0
0,aF*(-0.000169156462392399*sqrt(3003) + 0.0233952495037415*sqrt(13))*(chi + 1.3228756555323),aF*(0.0281033206224064*sqrt(13) + 0.00301673927400692*sqrt(3003))*(chi + 1.3228756555323),aF*((-0.0699840611788114*sqrt(13) - 0.000480079866408782*sqrt(3003))*(chi + 1.3228756555323) - 0.0172342722319139*sqrt(286)),aF*((-0.00246184205280272*sqrt(3003) + 0.0710424541923244*sqrt(13))*(chi + 1.3228756555323) + 0.0515310263786552*sqrt(286)),aF*(-0.0179487128234429*sqrt(13) - 0.000506116659193912*sqrt(3003))*(chi + 1.3228756555323),-0.00114939866357598*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.000932400914398628*sqrt(858)*(chi + 1.3228756555323) + 0.0206916212051854*sqrt(14)),0,aF*(chi + 1.3228756555323)*(-0.0298244183921279*sqrt(3) - 0.00132127107874539*sqrt(182) - 0.000462005646898802*sqrt(78)),aF*(chi + 1.3228756555323)*(-0.159855272202567*sqrt(3) - 0.000306825542601989*sqrt(78) + 0.00854090644548472*sqrt(182)),aF*((chi + 1.3228756555323)*(-0.00652361389881643*sqrt(182) + 0.00137258738147566*sqrt(78) + 0.243979936730546*sqrt(3)) + 0.0651400867140314*sqrt(66)),aF*(-0.00337259741001543*sqrt(897) + 0.0019971056828981*sqrt(23023))*(chi + 1.3228756555323),0,0,0
aF*((-0.0404455842658167*sqrt(22) - 0.00740323077704526*sqrt(143))*(chi + 1.3228756555323) + 1.24224325),aF*(0.0155961428918423*sqrt(22) + 0.00753958248775118*sqrt(143))*(chi + 1.3228756555323),aF*(-0.00541121587866795*sqrt(143) + 0.0391213965558802*sqrt(22))*(chi + 1.3228756555323),0,0,0,aF*(-0.120052379406521*sqrt(3) - 0.00112115290668064*sqrt(78))*(chi + 1.3228756555323),0,aF*(-0.0146347472829863*sqrt(858)*(chi + 1.3228756555323) + 0.411944242857143*sqrt(6)),0.000159523763105403*sqrt(858)*aF*(chi + 1.3228756555323),-0.00546377634672948*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*(0.000223610078818485*sqrt(9867) + 0.00694722258825514*sqrt(23))*(chi + 1.3228756555323),aF*((-0.0012084845994312*sqrt(55913) - 0.000526404408015011*sqrt(9177))*(chi + 1.3228756555323) + 0.0759072100840336*sqrt(391)),aF*(-2.80060154528748e-5*sqrt(55913) + 0.000811243454102566*sqrt(9177))*(chi + 1.3228756555323),0
aF*(0.00184936482463273*sqrt(22) + 0.00419082673921918*sqrt(143))*(chi + 1.3228756555323),aF*((-0.0348825272614661*sqrt(22) - 0.00604864084513559*sqrt(143))*(chi + 1.3228756555323) - 0.801503414767158),aF*((0.00131829470810105*sqrt(22) + 0.0012963311924774*sqrt(143))*(chi + 1.3228756555323) - 0.136119320885165),aF*(0.0015923414593915*sqrt(143) + 0.0445742514890542*sqrt(22))*(chi + 1.3228756555323),aF*(-0.0010808498594695*sqrt(143) + 0.00212351487992038*sqrt(22))*(chi + 1.3228756555323),aF*(0.00585472814685315*sqrt(143) + 0.0169980199905981*sqrt(22))*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(0.000427561954130861*sqrt(78) + 0.000518245217041485*sqrt(182) + 0.0380769382827838*sqrt(3)) + 0.0352378231494208*sqrt(66)),aF*(chi + 1.3228756555323)*(-0.0298244108847374*sqrt(3) - 0.00132127099545125*sqrt(182) - 0.000462005710769798*sqrt(78)),0.000159524279013064*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.0188928737069503*sqrt(858)*(chi + 1.3228756555323) - 0.289051550541988*sqrt(6)),aF*(0.00596912338712448*sqrt(858)*(chi + 1.3228756555323) + 0.11001233189885*sqrt(6)),-0.00274299427816903*sqrt(858)*aF*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(-0.0135678233126757*sqrt(23) - 0.000320201504414604*sqrt(9867) - 0.000772810688019259*sqrt(897)) - 0.0171708951727756*sqrt(69)),aF*(0.00102806004964283*sqrt(9177) + 0.000684099918772514*sqrt(55913))*(chi + 1.3228756555323),aF*((-0.00158434650811913*sqrt(9177) - 0.000638894278433513*sqrt(55913))*(chi + 1.3228756555323) - 0.03812918132703*sqrt(391)),0
