-8.00233563038522e-16*a3,3.51290213109444e-10*a3,-1.53173184776592e-8*a3,1.56423603710303e-8*a3,-4.0660091484249e-9*a3,2.75961209679451e-9*a3,-4.59783066586808e-17*a3,1.26181568339039e-18*a3,-1.98534388692796e-8*a3,1.90499345308328e-9*a3,1.00195846076844e-8*a3,0
3.51290213109444e-10*a3,-0.00221764230488518*a3,0.0966966865172546*a3,-0.00968228122656888*a3,-0.0548219048624685*a3,-0.0053308018455085*a3,3.37013800117692e-8*a3,-2.84765048681047e-8*a3,0.0128994220529942*a3,0.00433995358722458*a3,0.0228267476043078*a3,-6.27868350152754e-9*a3
-1.53173184776592e-8*a3,0.0966966865172546*a3,-4.21630177368988*a3,0.422173157477787*a3,2.39042492547222*a3,0.232441435998014*a3,-1.65215253038286e-7*a3,-4.90241886876331e-8*a3,-0.562449360673944*a3,-0.189238668310953*a3,-0.995328391530803*a3,6.05177847463031e-8*a3
1.56423603710303e-8*a3,-0.00968228122656888*a3,0.422173157477787*a3,-2.49467711221022*a3,0.431382005393151*a3,0.046796773173894*a3,1.19359665712166*a3,-0.0666307198187394*a3,3.3339587834701*a3,-0.952491000292011*a3,-1.48488392811519*a3,-0.21929707632181*a3
-4.0660091484249e-9*a3,-0.0548219048624685*a3,2.39042492547222*a3,0.431382005393151*a3,-4.64727097333352*a3,0.233890795844775*a3,1.91502733627172*a3,0.444837290474728*a3,-0.211412356956426*a3,-0.525631927835954*a3,2.39737793381082*a3,-0.557503726027696*a3
2.75961209679451e-9*a3,-0.0053308018455085*a3,0.232441435998014*a3,0.046796773173894*a3,0.233890795844775*a3,-5.0284223959928*a3,0.511952021081151*a3,3.57208432311653*a3,-0.103197210597739*a3,-0.152306169126562*a3,-1.00754481060612*a3,-2.41299498368689*a3
-4.59783066586808e-17*a3,3.37013800117692e-8*a3,-1.65215253038286e-7*a3,1.19359665712166*a3,1.91502733627172*a3,0.511952021081151*a3,-3.25996033182787*a3,0.131737095728188*a3,-1.86004517817179*a3,1.81011469703585*a3,0.0771119588099043*a3,0.527368095653487*a3
1.26181568339039e-18*a3,-2.84765048681047e-8*a3,-4.90241886876331e-8*a3,-0.0666307198187394*a3,0.444837290474728*a3,3.57208432311653*a3,0.131737095728188*a3,-3.80004009146829*a3,0.0353213430808335*a3,-0.378531448696905*a3,0.272244427898994*a3,2.37665502714124*a3
-1.98534388692796e-8*a3,0.0128994220529942*a3,-0.562449360673944*a3,3.3339587834701*a3,-0.211412356956426*a3,-0.103197210597739*a3,-1.86004517817179*a3,0.0353213430808335*a3,-4.49873030593013*a3,1.37921711745766*a3,1.82100432567344*a3,0.368219118948635*a3
1.90499345308328e-9*a3,0.00433995358722458*a3,-0.189238668310953*a3,-0.952491000292011*a3,-0.525631927835954*a3,-0.152306169126562*a3,1.81011469703585*a3,-0.378531448696905*a3,1.37921711745766*a3,-1.16981530453847*a3,0.0611177786577968*a3,-0.632679833938502*a3
1.00195846076844e-8*a3,0.0228267476043078*a3,-0.995328391530803*a3,-1.48488392811519*a3,2.39737793381082*a3,-1.00754481060612*a3,0.0771119588099043*a3,0.272244427898994*a3,1.82100432567344*a3,0.0611177786577968*a3,-6.4023183793473*a3,4.24459759505313*a3
0,-6.27868350152754e-9*a3,6.05177847463031e-8*a3,-0.21929707632181*a3,-0.557503726027696*a3,-2.41299498368689*a3,0.527368095653487*a3,2.37665502714124*a3,0.368219118948635*a3,-0.632679833938502*a3,4.24459759505313*a3,-6.30691395572575*a3
