-5.51582456372394e-16*v3,6.05558548694536e-9*v3,-4.74371044667599e-8*v3,2.92231196752252e-8*v3,-1.08947843929552e-8*v3,2.55734547150584e-16*v3,-2.45894213356506e-8*v3,0,0,0,0,0,0,0,0,0,0
6.05558548694536e-9*v3,-0.11451141004365*v3,0.897037912380102*v3,-0.40965179261799*v3,-0.167013530518522*v3,5.50720179093055e-7*v3,0.180980367679308*v3,0,0,0,0,0,0,0,0,0,0
-4.74371044667599e-8*v3,0.897037912380102*v3,-7.02704661431476*v3,3.20905120304026*v3,1.30831550105605*v3,4.30370984292016e-8*v3,-1.41772749042373*v3,0,0,0,0,0,0,0,0,0,0
2.92231196752252e-8*v3,-0.40965179261799*v3,3.20905120304026*v3,-4.04290415261452*v3,1.42021135309849*v3,2.4323082622597*v3,5.07877948907167*v3,0,0,0,0,0,0,0,0,0,0
-1.08947843929552e-8*v3,-0.167013530518522*v3,1.30831550105605*v3,1.42021135309849*v3,-14.4171223372028*v3,4.60271114847547*v3,-5.04833605675371*v3,0,0,0,0,0,0,0,0,0,0
2.55734547150584e-16*v3,5.50720179093055e-7*v3,4.30370984292016e-8*v3,2.4323082622597*v3,4.60271114847547*v3,-5.65714294878205*v3,-3.22949362411347*v3,0,0,0,0,0,0,0,0,0,0
-2.45894213356506e-8*v3,0.180980367679308*v3,-1.41772749042373*v3,5.07877948907167*v3,-5.04833605675371*v3,-3.22949362411347*v3,-8.17460179297506*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-9.06060541938344*v3,2.22845725699055*v3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2.22845725699055*v3,-11.7393937391015*v3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-3.84682323180152e-15*v3,3.66060170272812e-8*v3,-1.61773340342805e-7*v3,8.87702620769135e-8*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,3.66060170272812e-8*v3,-0.348339500376278*v3,1.53942026818206*v3,-0.844729671548207*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,-1.61773340342805e-7*v3,1.53942026818206*v3,-6.8031755213803*v3,3.73312235939765*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,8.87702620769135e-8*v3,-0.844729671548207*v3,3.73312235939765*v3,-2.04848493272552*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-10.4999996860854*v3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
