-3.05151094966119e-15*a3,3.09613186691861e-9*a3,-3.47641350476936e-8*a3,-4.25490229057178e-8*a3,4.54586517267337e-8*a3,2.76681543038274e-8*a3,-2.49925250438317e-16*a3,-2.36161604324768e-15*a3,0,4.82694734995272e-8*a3,-2.43769268483071e-8*a3
3.09613186691861e-9*a3,-0.0719903770067176*a3,0.808325988060943*a3,-0.167522580305319*a3,-0.295580244276674*a3,-0.119010946566989*a3,-5.43302033688757e-8*a3,-7.20412863048332e-8*a3,-7.36292277722343e-15*a3,0.146983285163652*a3,0.0410198061222542*a3
-3.47641350476936e-8*a3,0.808325988060943*a3,-9.07608669578855*a3,1.88098543553967*a3,3.31884333198326*a3,1.33629625325334*a3,-1.85220884231085e-7*a3,-3.52858661180992e-7*a3,-7.52746911405811e-15*a3,-1.65036290634589*a3,-0.46057707376243*a3
-4.25490229057178e-8*a3,-0.167522580305319*a3,1.88098543553967*a3,-7.29683589528373*a3,2.72621696332623*a3,1.17504903646528*a3,1.5373384114238*a3,-0.623502062926739*a3,-3.74447778064452e-7*a3,8.43325213758477*a3,-3.7331341666187*a3
4.54586517267337e-8*a3,-0.295580244276674*a3,3.31884333198326*a3,2.72621696332623*a3,-10.3779312459046*a3,1.31748497376733*a3,3.40682842384058*a3,-0.965049726746543*a3,5.88018990299579e-8*a3,-0.301033771266904*a3,3.09968150092671*a3
2.76681543038274e-8*a3,-0.119010946566989*a3,1.33629625325334*a3,1.17504903646528*a3,1.31748497376733*a3,-17.2831099604534*a3,4.67168188618029*a3,3.46425867178343*a3,-2.80094133175822e-7*a3,-2.16124158589795*a3,-2.84645623714095*a3
-2.49925250438317e-16*a3,-5.43302033688757e-8*a3,-1.85220884231085e-7*a3,1.5373384114238*a3,3.40682842384058*a3,4.67168188618029*a3,-8.77582838782229*a3,-1.57373316853568*a3,6.43025383624698*a3,-3.66281724507383*a3,5.0348010458022*a3
-2.36161604324768e-15*a3,-7.20412863048332e-8*a3,-3.52858661180992e-7*a3,-0.623502062926739*a3,-0.965049726746543*a3,3.46425867178343*a3,-1.57373316853568*a3,-23.0552818370004*a3,6.00764714457637*a3,1.1952037031641*a3,-7.11436629984692*a3
0,-7.36292277722343e-15*a3,-7.52746911405811e-15*a3,-3.74447778064452e-7*a3,5.88018990299579e-8*a3,-2.80094133175822e-7*a3,6.43025383624698*a3,6.00764714457637*a3,-12.3199982301251*a3,3.02400141004951e-8*a3,-4.69333306001833*a3
4.82694734995272e-8*a3,0.146983285163652*a3,-1.65036290634589*a3,8.43325213758477*a3,-0.301033771266904*a3,-2.16124158589795*a3,-3.66281724507383*a3,1.1952037031641*a3,3.02400141004951e-8*a3,-11.0669198360284*a3,4.04343531085845*a3
-2.43769268483071e-8*a3,0.0410198061222542*a3,-0.46057707376243*a3,-3.7331341666187*a3,3.09968150092671*a3,-2.84645623714095*a3,5.0348010458022*a3,-7.11436629984692*a3,-4.69333306001833*a3,4.04343531085845*a3,-9.8093503617829*a3
