-1.75177137075492e-15*v3,-9.81062759997805e-9*v3,9.13370678624671e-8*v3,-3.95335132452305e-8*v3,-3.07289679369231e-8*v3,7.5104561126955e-16*v3,1.26770016385382e-8*v3,0,0,0,0,0,0,0,0,0,0
-9.81062759997805e-9*v3,-0.0585486693636707*v3,0.545088877438185*v3,-0.266789618005537*v3,-0.112129666419393*v3,5.05156139657009e-7*v3,0.131144537996416*v3,0,0,0,0,0,0,0,0,0,0
9.13370678624671e-8*v3,0.545088877438185*v3,-5.07478457728207*v3,2.48381392566454*v3,1.04392268150774*v3,2.26919121224194e-7*v3,-1.22095684808053*v3,0,0,0,0,0,0,0,0,0,0
-3.95335132452305e-8*v3,-0.266789618005537*v3,2.48381392566454*v3,-3.27806031769005*v3,1.1234547961531*v3,1.91011561430388*v3,3.87415057968507*v3,0,0,0,0,0,0,0,0,0,0
-3.07289679369231e-8*v3,-0.112129666419393*v3,1.04392268150774*v3,1.1234547961531*v3,-10.2819379199048*v3,3.84278531338288*v3,-3.55700466050175*v3,0,0,0,0,0,0,0,0,0,0
7.5104561126955e-16*v3,5.05156139657009e-7*v3,2.26919121224194e-7*v3,1.91011561430388*v3,3.84278531338288*v3,-5.03999943686063*v3,-2.29483892514494*v3,0,0,0,0,0,0,0,0,0,0
1.26770016385382e-8*v3,0.131144537996416*v3,-1.22095684808053*v3,3.87415057968507*v3,-3.55700466050175*v3,-2.29483892514494*v3,-5.66666614487893*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-6.4777776992176*v3,1.82925405218373*v3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.82925405218373*v3,-8.92222132321063*v3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-2.31416203290702e-15*v3,2.24398775151444e-8*v3,-1.08173533069955e-7*v3,6.44076848813388e-8*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,2.24398775151444e-8*v3,-0.217594142386881*v3,1.04893296059349*v3,-0.624545964897581*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,-1.08173533069955e-7*v3,1.04893296059349*v3,-5.05647966324003*v3,3.01068236856284*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,6.44076848813388e-8*v3,-0.624545964897581*v3,3.01068236856284*v3,-1.7925926589344*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-7.79999974505472*v3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
